epoch,best_val_epoch,train_loss,val_loss,test_loss,train_recon_loss,val_recon_loss,test_recon_loss,train_kl_post_prior,val_kl_post_prior,test_kl_post_prior,l2_penalty
1,1,78.09288940429687,78.10043766276041,77.8615041748047,55.65682822672526,55.70140283203125,55.23044914550781,22.436060961405435,22.39903512573242,22.631054403686523,989.0770874023438
2,2,76.33991858927409,76.37717598470051,76.41095378417968,58.79437879435221,58.85387392171224,58.77165366210937,17.545539728800456,17.523302225748697,17.63930036315918,991.3665161132812
3,3,65.24277710469563,65.30982535807291,65.17539296875,50.27320776367188,50.36378676350911,50.13040280761719,14.969569187164307,14.946038831075033,15.044990203857422,995.0230102539062
4,4,54.72460528564453,54.92779567464193,54.55113746337891,39.85516444905599,40.08331208292643,39.618743823242184,14.869440970102946,14.844483273824055,14.932393836975098,1000.1317138671875
5,4,61.46443383280436,61.59026788330078,61.61912873535156,46.43745049540202,46.58263205973307,46.52698104248047,15.026983416239421,15.007635856628418,15.092147521972656,1007.2224731445312
6,4,55.46384592692057,55.6364214070638,55.375943103027346,40.693622355143226,40.89292030843099,40.56851931152344,14.770223529815674,14.743501352945964,14.807423664855957,1016.6426391601562
7,4,54.8410190226237,55.13479673258463,54.793774285888674,39.62859339396159,39.94347208658854,39.53844072265625,15.212425641377767,15.191324310302734,15.255333729553223,1028.972900390625
8,8,53.25016268412272,53.49805753580729,53.11132822265625,38.28047610727946,38.556607584635415,38.09498886108398,14.969686490376791,14.941449890136719,15.016339236450195,1044.7076416015625
9,8,53.44337810262044,53.7258168741862,53.3651837524414,38.46109278361003,38.76516442871094,38.342555725097654,14.982285172780355,14.96065256245931,15.022627862548829,1064.435302734375
10,8,55.63685018412272,55.875210225423174,55.69901651611328,40.781490737915036,41.043826619466145,40.80929548339844,14.85535948562622,14.831383781433106,14.88972081604004,1088.4940185546875
11,11,49.24635569254557,49.59669235229492,49.27581751708984,34.63879549407959,35.01044176228841,34.637540246582034,14.60756019337972,14.586250869750977,14.638276791381836,1117.3443603515625
12,11,52.63178934224447,53.01932334391276,52.65055151367188,37.95692176818848,38.3661167195638,37.948616217041014,14.674867529551188,14.653206471761068,14.70193540649414,1150.8385009765625
13,11,54.824710556030276,55.19461891682943,55.03370516357422,39.91971594746907,40.31011996459961,40.103998498535155,14.90499467722575,14.884498926798502,14.92970687866211,1189.243896484375
14,14,46.314664093017576,46.753949279785154,46.346914404296875,31.393790321350096,31.857289123535157,31.412369622802736,14.920873681386311,14.896660247802734,14.934544845581055,1231.9310302734375
15,14,46.845619079589845,47.384559458414714,47.03320264892578,31.97192315673828,32.53604444376628,32.14609189453125,14.873695877075196,14.848514874776205,14.887110693359375,1279.05322265625
16,16,45.76045734659831,46.30841923014323,45.93518102416992,30.854602930704754,31.429711252848307,31.01820548706055,14.905854461669922,14.878707870483398,14.916975888061524,1330.149169921875
17,16,45.87497809855143,46.395805521647134,46.02057799072266,31.017020398457845,31.56834192911784,31.16341706237793,14.85795757929484,14.827463905334472,14.857161001586913,1384.8631591796875
18,18,45.2093720703125,45.84905437215169,45.39230975341797,30.19385696411133,30.856749308268228,30.376297763061523,15.015515051523844,14.99230527750651,15.016011923217773,1442.7576904296875
19,18,49.89335085550944,50.43917425537109,50.241579064941405,35.05416785939534,35.63171743774414,35.409623864746095,14.839182852427165,14.807456919352214,14.83195478515625,1503.8304443359375
20,18,45.863478271484375,46.49605170694987,46.24697055053711,31.319379870096842,31.974084767659505,31.728676385498048,14.544098367055257,14.521966623942058,14.518294122314453,1567.3138427734375
21,21,45.15951838175456,45.78902796427409,45.60044757080078,30.118170946756997,30.775403828938803,30.578695013427733,15.041347442626954,15.013624570210775,15.021752740478515,1633.208251953125
22,22,44.35215826924642,45.09648332722982,44.769393182373044,29.65421267191569,30.427174641927085,30.07794807128906,14.697945602416992,14.66930867767334,14.691444961547852,1701.088134765625
23,22,44.40179579671224,45.17004862467448,44.89677136230469,29.48362993621826,30.284406483968098,29.986849926757813,14.918165908813476,14.885642016092936,14.909921182250976,1770.71337890625
24,24,43.63914795430501,44.40350921630859,44.21917245483399,28.54831025950114,29.33872434488932,29.148759759521486,15.090837562561035,15.06478498840332,15.07041298980713,1841.959716796875
25,25,43.4725148264567,44.28879798380534,44.044123907470706,28.64817681121826,29.491721232096353,29.234856442260742,14.824338139851887,14.797076716105144,14.809267419433594,1914.91650390625
26,25,43.67608149210612,44.520803985595705,44.265732678222655,28.847383232116698,29.72354921468099,29.469679052734374,14.828698253631591,14.79725505065918,14.79605358581543,1989.880859375
27,25,45.119665171305336,45.92601434326172,45.76276212158203,30.086312024434406,30.92440301513672,30.76495834350586,15.033353214263917,15.001611389160157,14.997803601074219,2065.281494140625
28,28,42.592387624104816,43.46901169840495,43.260345220947265,27.76321007792155,28.678964447021485,28.470174975585937,14.829177537282307,14.790047170003255,14.790170249938965,2142.172607421875
29,29,42.11009558614095,43.06033428955078,42.79463389892578,27.020685615539552,28.001315592447916,27.73911130065918,15.089410137176513,15.05901872253418,15.05552274169922,2220.41748046875
30,29,42.30259780375163,43.27323880004883,43.06054357299805,27.330910217285155,28.33232297770182,28.13152024536133,14.971687657674154,14.940915802001953,14.929023222351073,2299.39453125
